ID,Char,Day,Message_Text,Option_A,Reaction_A,Anx_A,Lethal_A,Option_B,Reaction_B,Anx_B,Lethal_B,Next_ID,Type,Condition,Msg_Status
mom_1_1,Mom,1,"I'm baking Dad's birthday cake, but I heard there was a recall? Can you check for me? I don't know if I can use my flour","If the bag says GH-404, don't use it, okay?","I just checked. It says GH-402, so I guess it's fine",5,FALSE,"They say it's only a packaging thing, don't worry. What cake is it?",Lemon pie. I'll save you a slice,-5,FALSE,mom_1_2,,,
mom_1_2,Mom,1,"Dad just got home. He looks exhausted. He said the hospital was a mess today, the flu this year is so bad.","Yeah, I heard! There was a riot, it sounds crazy",A riot?? This is awful. All because of a flu season?,10,FALSE,"There was a disturbance, I think? Nothing major, they got it under control.",Your poor Dad. And on his birthday!,-5,FALSE,mom_1_3,,,
mom_1_3,Mom,1,"Dad loved the cake, but he's not feeling well. He went to bed to rest for a bit... I'm worried. ","Mom, don't hover. Let him rest",I'm not hovering! I'm just worried. But okay.,-10,FALSE,Maybe he got the flu as well?,Oh no... I hope he's just tired.,15,FALSE,mom_1_4,,,
mom_1_4,Mom,1,"I'm going to the pharmacy to get Dad some meds. He's acting really weird, just staring at the lamp and mumbling",Mom... I don't think it's the flu. Don't go. Lock the bedroom door right now.,You're scaring me. But... okay. He'll go to sleep soon anyway. He'll be fine in the morning.,30,FALSE,"Okay, but be careful and come right back!","Okay, grabbing my keys. I'll talk to you later.",-10,TRUE,NULL,,,
bf_1_1,Boyfriend,1,"Babe it's unreal, the shelves are empty everywhere. Can you check if SuperMart is still open?","Yeah, if you'll hurry you'll make it before they close","Never mind, there were like 3 police cars in the parking lot. Gonna keep looking",-5,FALSE,"No, don't go! People are fighting over there. Find another place","Damn, people are being crazy. I'll keep searching",10,FALSE,bf_1_2,,,
bf_1_2,Boyfriend,1,"I'm at another store, found a bag of rice! And it looks like a safe one!","Okay, just as long as it's not ""Golden Harvest""","No no, it's fine. They recalled those products.",-10,FALSE,Did you check the bottom of the bag? To be sure?,"There was a stamp, GH-404. Like the recalled lot. That's a shitty move",10,FALSE,bf_1_3,,,
bf_1_3,Boyfriend,1,"Mike says there's a riot at the hospital. His sister's working there, he's going to see if she's okay. I'm gonna tag along","Absolutely not, are you for real?? Go home!","Okay, chill! I just wanted to help",20,FALSE,"Okay, just be careful. We don't know what going on","Alright, I'll stick close to him. Don't worry. Gonna get home soon, and we'll head out.",-10,FALSE,bf_1_4,,,
bf_1_4,Boyfriend,1,"Finally got home. Mike is on his way, he's freaked out. He sounds really weird on the phone","No, do not let him in! You can't trust anyone!","Well, if you're really sure about it... I'm kinda scared Love.",30,FALSE,"Omg poor Mike. I hope he's okay. You guys should be together, It's safer","Yeah, you're right. But he was supposed to be here by now... Weird.",-15,FALSE,NULL,,,
bestie_1_1,Bestie,1,"Ugh, my timeline is full of conspiracy trash. ""Microwave your phone""? People are dumb.",I read about it! It makes sense actuelly,"Wait, really? Girl, are you serious? I was sure it's just people trolling again",5,FALSE,"Yeah, don't mind those people.",Yeah but it's dangerous! Someone's gonna blow up their kitchen.,-5,FALSE,bestie_1_2,,,
bestie_1_2,Bestie,1,My lab partner is being weird again. He's just staring at the light and mumbling.,What?? He might be sick! Get away from him!!,What?? are you fr? I'm out of here,15,FALSE,Omg he's probably high AGAIN,"Ew, you're right. I'm so tired of him",-15,FALSE,bestie_1_3,,,
bestie_1_3,Bestie,1,Did you see those photos of the National Guard? What's going on?,It's just some old footage. Don't believe everything you see online.,Can't believe I fell for it,-10,FALSE,"So weird, right?? they def hiding something",You're scaring the shit out of me,20,FALSE,bestie_1_4,,,
bestie_1_4,Bestie,1,I'm heading home. I'm kinda scared being here alone... Maybe I should head to my parent's place,"Good idea, don't be alone right now. It's really not safe",I'm gonna head out soon. Talk to you later,-20,FALSE,"No, stay put. The roads are a mess and it's really dangerous to travel",Okay... I'll stay. I'm nervous.,20,FALSE,NULL,,,
mom_2_1,Mom,2,I haven't slept all night. Dad has been standing at the bedroom door for hours... Just breathing. I'm calling 911.,They're not going to answer. Put something heavy in front the door first,Okay... I pushed the dresser there. How are they not answering? What are we going to do?,20,FALSE,"Good, there are ""Safety Corridors"" for the ambulances, they'll get to you fast",Therse no answer... We are all alone.,15,FALSE,mom_2_2,,,
mom_2_2,Mom,2,Mrs. Gable next door... she's doing it too. Standing in her yard. Staring at the sun.,Is she moving?,No. She's frozen. Her eyes must be burning.,10,FALSE,Don't look at her. Close the blinds.,"I'm trying, but my hands are shaking so much.",20,FALSE,mom_2_3,,,
mom_2_3,Mom,2,"The power just went off, it's pitch black in here. I hear your Dad... he's saying weird things. About something that's going to get him.",Find a weapon RIGHT NOW. Anything heavy.,I have a heavy lamp. I'm holding it. I can't do it. I can't,40,FALSE,"As long as there is something heavy blocking the door, you are going to be okay. We'll get him help soon.",Yes. You're right. He can't get out.,-10,FALSE,mom_2_4,,,
mom_2_4,Mom,2,He's calling my name. But his voice sounds wrong. He asks me to let him out... He says he's cold.,That's not him. Don't listen. We're going to get him help soon. Just remember it. ,It sounds exactly like him though. It breaks my heart. But he'll be okay. We'll be okay.,10,FALSE,It's a trick! The infected mimic people! Don't open the door!!,That's insane. It sounds just like him... I can't handle it,30,FALSE,NULL,,,
bf_2_1,Boyfriend,2,I woke up with a killer headache. And the power is out. You okay?,"I'm fine. I read about those ""Power Pauses"". That's bullshit, they're lying to us","Yeah. Saw it before the signal got weak. ""Saving lives"" my ass.",10,FALSE,"Yeah, there are ""Power Pauses"" to save power for the hospitals.","Yeah, I heard about it. No choice but sit in the dark I guess",-10,FALSE,bf_2_2,,,
bf_2_2,Boyfriend,2,"I'm looking out the window, and there are people just standing in the street. Not moving.","Don't look Babe. Seriously, just stay inside, and it'll all be over soon.",You're right. Nothing I can do right now.,-10,FALSE,"Those people are infected. From the grain, from the flu, I don't care. Just don't let them see you.",I'm ducking down. I saw Gary the Mailman there,20,FALSE,bf_2_3,,,
